Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),attack_severity_factor,Financial Loss (in Million $)_norm,Number of Affected Users_norm,Incident Resolution Time (in Hours)_norm,risk_score,severity_cluster,Severity
2,2019,3,1,80.53,773169,0,1,4,63,0.4,0.8044024525077899,0.7733551772348384,0.8732394366197184,0.7684154214975112,1,0
2,2019,4,5,62.19,295961,0,1,3,71,1.0,0.6200623178208865,0.295770362816262,0.9859154929577464,0.6339391345647826,1,1
5,2017,2,4,38.65,605895,0,2,4,20,0.3,0.3834556236807719,0.6059490938350359,0.2676056338028169,0.418688104383383,2,2
8,2024,4,6,41.44,659320,2,0,0,7,1.0,0.4114986430797065,0.6594162794444818,0.0845070422535211,0.4793257495159313,3,2
4,2018,2,4,74.41,810682,1,0,4,68,0.3,0.7428887325359333,0.8108977983629084,0.943661971830986,0.7591572268894431,1,0
4,2017,2,5,98.24,285201,3,0,1,25,0.3,0.9824102924917076,0.2850018664726469,0.3380281690140845,0.5760703107412941,3,1
4,2016,0,6,33.26,431262,1,1,4,34,0.6,0.3292793245552317,0.431178199599484,0.4647887323943662,0.4140229361808111,0,2
3,2018,5,2,59.23,909991,3,0,1,66,0.7,0.5903105839782893,0.9102852150346624,0.9154929577464788,0.7623083896510102,1,0
5,2016,2,0,16.88,698249,3,0,4,47,0.3,0.1646396622776158,0.6983760186787376,0.647887323943662,0.4349461353034001,2,0
8,2023,0,3,69.14,685927,0,1,3,58,0.6,0.6899185847823902,0.6860442889439768,0.8028169014084507,0.7023441008778393,1,0
2,2019,3,6,88.67,493675,3,3,4,29,0.6000000000000001,0.8862197205749323,0.4936404823405668,0.3943661971830986,0.6414532723687627,3,2
2,2016,5,3,38.81,920768,0,1,0,27,0.7,0.3850638255101015,0.9210707248018688,0.3661971830985915,0.5735861842643195,2,0
5,2019,4,1,30.56,583204,1,3,3,37,1.2,0.302140918685295,0.583240176499258,0.5070422535211268,0.5172368711281208,2,2
3,2023,0,3,58.37,599797,2,1,0,35,0.6,0.5816664991456428,0.5998462787139053,0.4788732394366197,0.5683951311597526,3,2
3,2024,0,4,48.01,922258,3,0,2,64,0.6,0.4775354306965524,0.9225619013401576,0.8873239436619719,0.7052475314130626,1,0
0,2022,3,0,64.31,120789,2,3,2,36,0.6000000000000001,0.6413709920595035,0.1204600429739064,0.4929577464788732,0.451277959011748,0,1
7,2017,2,3,13.04,850158,0,1,0,67,0.3,0.1260428183737059,0.8504049695209521,0.9295774647887324,0.5214541111635145,2,0
5,2015,0,4,93.14,805278,1,0,2,56,0.6,0.9311488591818274,0.8054895312401485,0.7746478873239437,0.8290359805095644,1,0
8,2019,1,6,14.01,578443,1,0,3,28,0.6,0.1357925419640165,0.5784754171040951,0.3802816901408451,0.3639159799450042,2,2
5,2016,0,4,36.45,261808,2,0,0,6,0.6,0.3613428485274902,0.2615903948215142,0.0704225352112676,0.2970987648997039,0,1
1,2015,4,5,49.55,920172,0,2,1,43,1.0,0.4930143733038496,0.9204742541865532,0.5915492957746479,0.6916578847324354,2,0
3,2023,4,1,17.72,261661,1,0,4,11,1.0,0.1730827218815961,0.2614432787469314,0.1408450704225352,0.2758350864612249,0,1
