Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),attack_severity_factor,Financial Loss (in Million $)_norm,Number of Affected Users_norm,Incident Resolution Time (in Hours)_norm,risk_score,severity_cluster,Severity
China,2019,Phishing,Education,80.53,773169,Hacker Group,Unpatched Software,VPN,63,0.4,0.8044024525077899,0.7733551772348384,0.8732394366197184,0.7684154214975112,1,Critical
China,2019,Ransomware,Retail,62.19,295961,Hacker Group,Unpatched Software,Firewall,71,1.0,0.6200623178208865,0.29577036281626207,0.9859154929577465,0.6339391345647826,1,Critical
India,2017,Man-in-the-Middle,IT,38.65,605895,Hacker Group,Weak Passwords,VPN,20,0.3,0.38345562368077196,0.6059490938350359,0.26760563380281693,0.418688104383383,2,Medium
UK,2024,Ransomware,Telecommunications,41.44,659320,Nation-state,Social Engineering,AI-based Detection,7,1.0,0.4114986430797065,0.6594162794444818,0.08450704225352114,0.4793257495159313,3,High
Germany,2018,Man-in-the-Middle,IT,74.41,810682,Insider,Social Engineering,VPN,68,0.3,0.7428887325359333,0.8108977983629084,0.943661971830986,0.7591572268894431,1,Critical
Germany,2017,Man-in-the-Middle,Retail,98.24,285201,Unknown,Social Engineering,Antivirus,25,0.3,0.9824102924917077,0.28500186647264697,0.33802816901408456,0.5760703107412941,3,High
Germany,2016,DDoS,Telecommunications,33.26,431262,Insider,Unpatched Software,VPN,34,0.6,0.3292793245552317,0.43117819959948406,0.46478873239436624,0.41402293618081115,0,Low
France,2018,SQL Injection,Government,59.23,909991,Unknown,Social Engineering,Antivirus,66,0.7,0.5903105839782893,0.9102852150346624,0.9154929577464789,0.7623083896510102,1,Critical
India,2016,Man-in-the-Middle,Banking,16.88,698249,Unknown,Social Engineering,VPN,47,0.3,0.16463966227761587,0.6983760186787376,0.647887323943662,0.4349461353034001,2,Medium
UK,2023,DDoS,Healthcare,69.14,685927,Hacker Group,Unpatched Software,Firewall,58,0.6,0.6899185847823902,0.6860442889439768,0.8028169014084507,0.7023441008778393,1,Critical
China,2019,Phishing,Telecommunications,88.67,493675,Unknown,Zero-day,VPN,29,0.6000000000000001,0.8862197205749323,0.4936404823405668,0.3943661971830986,0.6414532723687627,3,High
China,2016,SQL Injection,Healthcare,38.81,920768,Hacker Group,Unpatched Software,AI-based Detection,27,0.7,0.38506382551010154,0.9210707248018687,0.36619718309859156,0.5735861842643195,2,Medium
India,2019,Ransomware,Education,30.56,583204,Insider,Zero-day,Firewall,37,1.2,0.302140918685295,0.583240176499258,0.5070422535211268,0.5172368711281208,2,Medium
